loss,accuracy
0.2600211799144745,0.9339166283607483
1.1116300821304321,0.9263750910758972
0.7685769200325012,0.9303333163261414
0.46474525332450867,0.9319999814033508
0.37498632073402405,0.9325000643730164
0.33813485503196716,0.9310000538825989
0.31906938552856445,0.9328332543373108
0.3069517910480499,0.9338333606719971
0.2992389500141144,0.9322500228881836
0.2945118844509125,0.9318334460258484
0.28798869252204895,0.9330000281333923
0.28523626923561096,0.9321666359901428
0.28526178002357483,0.9330833554267883
0.2803134322166443,0.9352500438690186
0.2795460522174835,0.9308333396911621
0.27929142117500305,0.934333324432373
0.27702853083610535,0.9346666932106018
0.27732279896736145,0.9334166646003723
0.2747962176799774,0.9348333477973938
0.2761862277984619,0.934166669845581
0.27378061413764954,0.9334999918937683
0.27463817596435547,0.9351666569709778
0.27195313572883606,0.9344167113304138
0.27511414885520935,0.9359166622161865
0.27256155014038086,0.9366665482521057
0.2728341221809387,0.9351666569709778
0.2705478370189667,0.9359166622161865
0.27074703574180603,0.9345833659172058
0.27211102843284607,0.9357499480247498
0.26989448070526123,0.9360833168029785
0.2692126929759979,0.9359166026115417
