loss,accuracy
0.9442011713981628,0.6000000238418579
0.9449151754379272,0.5995999574661255
0.9411070942878723,0.6000000238418579
0.9400798678398132,0.5981749892234802
0.9390451908111572,0.598639965057373
0.9379372000694275,0.5979999899864197
0.937577486038208,0.5985000133514404
0.9381618499755859,0.5981625318527222
0.9399746656417847,0.5976667404174805
0.9433819651603699,0.5979500412940979
0.9477154016494751,0.5982455611228943
0.9531334638595581,0.5981501340866089
0.9602378010749817,0.5980618000030518
0.9681554436683655,0.5984430909156799
0.9773127436637878,0.5988668203353882
0.9875153303146362,0.5990939140319824
0.9992313981056213,0.5992177724838257
1.0121057033538818,0.5991612076759338
1.0263445377349854,0.5991685390472412
1.0418152809143066,0.5992051362991333
