loss,accuracy
0.01773819327354431,0.8962000012397766
0.571880578994751,0.8533000946044922
0.6832637190818787,0.8268000483512878
0.3624390959739685,0.8430999517440796
0.19761648774147034,0.8543999791145325
0.1256321370601654,0.865100085735321
0.08585036545991898,0.8723999857902527
0.05510207265615463,0.8773999214172363
0.04498501494526863,0.8810999989509583
0.03500288724899292,0.8832000494003296
0.031500205397605896,0.8845000267028809
0.03259451314806938,0.8872998952865601
0.030017569661140442,0.8888999819755554
0.025184601545333862,0.8897000551223755
0.021820295602083206,0.8918999433517456
0.021603431552648544,0.8921999931335449
0.02323620393872261,0.8924000859260559
0.0243987999856472,0.8937999606132507
0.019399182870984077,0.8951999545097351
0.018185924738645554,0.8948000073432922
0.023559192195534706,0.8958999514579773
0.02008162997663021,0.8951999545097351
0.021725475788116455,0.8953999280929565
0.023027637973427773,0.8968999981880188
0.021514389663934708,0.8968998789787292
0.021069463342428207,0.8982999920845032
0.01982588693499565,0.8995000123977661
0.018630828708410263,0.8977999687194824
0.018424034118652344,0.8985999226570129
0.018931735306978226,0.8999999761581421
0.01915299892425537,0.9000999331474304
