loss,accuracy
0.2571565508842468,0.9328334331512451
0.25709840655326843,0.9327084422111511
0.2560375928878784,0.9330276846885681
0.25576236844062805,0.9329165816307068
0.25568336248397827,0.9321333765983582
0.2557167410850525,0.9322083592414856
0.25592678785324097,0.9327620267868042
0.2556981146335602,0.9328542351722717
0.25603416562080383,0.9327962398529053
0.2567080855369568,0.9327833652496338
0.2577865421772003,0.9329092502593994
0.2591454088687897,0.9329308271408081
0.2607005834579468,0.9329617023468018
0.26244285702705383,0.932976245880127
0.26455608010292053,0.9330499172210693
0.2669735252857208,0.9330676198005676
0.26976385712623596,0.9329801797866821
0.27287203073501587,0.9330044388771057
0.2762652635574341,0.9331445693969727
0.2800147235393524,0.9329997897148132
