loss,accuracy
0.18074701726436615,0.9461666941642761
0.1822773665189743,0.9475000500679016
0.18213480710983276,0.9474166035652161
0.18140171468257904,0.9469999670982361
0.18128181993961334,0.9467831254005432
0.18128301203250885,0.9469026923179626
0.18108442425727844,0.94647616147995
0.18115203082561493,0.9465519785881042
0.18086811900138855,0.9467406868934631
0.18092873692512512,0.9468833208084106
0.18100270628929138,0.9468181133270264
0.18103009462356567,0.9467637538909912
0.1810385137796402,0.9465896487236023
0.1808580607175827,0.9466783404350281
0.18071973323822021,0.9467165470123291
0.1808685064315796,0.9467291235923767
0.18088164925575256,0.946813702583313
0.1807643175125122,0.9468286037445068
0.18055607378482819,0.946934163570404
0.18042883276939392,0.9469082355499268
