data_loss,loss,accuracy
3.163896083831787,3.164033889770508,0.08729999512434006
2.776967763900757,2.826584577560425,0.13165000081062317
2.2419657707214355,2.3677525520324707,0.1800999939441681
2.2442195415496826,2.370209217071533,0.17880001664161682
2.2445271015167236,2.3703629970550537,0.17650000751018524
2.2475497722625732,2.374206066131592,0.17730000615119934
2.1558680534362793,2.220977306365967,0.241799995303154
2.0360589027404785,2.0640711784362793,0.2717999815940857
1.9686492681503296,1.9926917552947998,0.29490000009536743
1.9319381713867188,1.9571735858917236,0.317300021648407
1.8933244943618774,1.9158223867416382,0.3325999975204468
1.8661457300186157,1.887020468711853,0.3409999907016754
1.8424732685089111,1.8625764846801758,0.35270002484321594
1.8213752508163452,1.8398754596710205,0.35680001974105835
1.8135566711425781,1.8324787616729736,0.36089998483657837
1.7989498376846313,1.8200727701187134,0.36719998717308044
1.7789442539215088,1.7979780435562134,0.3788999915122986
1.7626975774765015,1.781847596168518,0.3809000253677368
1.746140480041504,1.7664968967437744,0.3862000107765198
1.7399717569351196,1.7610559463500977,0.3800000250339508
1.7248713970184326,1.7447319030761719,0.38609999418258667
1.7144334316253662,1.735452651977539,0.3974999785423279
1.7001445293426514,1.7199770212173462,0.39719995856285095
1.6939961910247803,1.713679552078247,0.4097999632358551
1.6757431030273438,1.6956526041030884,0.4107999801635742
1.6631383895874023,1.6806312799453735,0.421099990606308
1.661681890487671,1.682299017906189,0.4222000241279602
1.6416385173797607,1.6603412628173828,0.42020002007484436
1.6311441659927368,1.6488893032073975,0.4278999865055084
1.624748945236206,1.6442924737930298,0.4221000075340271
1.6075845956802368,1.6266340017318726,0.4355999827384949
